50plus,denk,cda,ja21,pvv,sgp,vvd,cu,sp,fvd,d66,gl,pvda,pvdd
1,1,1,1,1,1,1,0,0,0,-1,-1,-1,-2
1,-2,-1,0,-2,-2,1,-1,-1,-2,1,0,-1,-2
1,1,1,-1,1,-2,-1,1,2,-2,1,2,2,2
-1,-1,-1,1,2,1,-1,-2,-2,2,-2,-2,-2,-2
-1,-1,-1,-1,-1,-2,1,-2,0,-1,2,2,2,1
-1,1,1,-1,2,1,0,2,2,-1,2,2,2,2
1,-2,-1,1,2,1,0,0,-1,2,-1,-1,-1,-2
-1,1,1,-2,-2,1,-2,2,2,-2,2,2,1,2
-1,-1,-2,1,2,0,-2,-1,0,2,-2,-1,-1,0
0,-1,-1,0,-1,-1,1,-1,-2,0,1,-1,-1,-2
1,2,-1,-2,-2,-2,-1,0,0,-2,1,2,1,2
2,-1,2,2,2,1,2,-1,-1,2,-1,-1,-1,-2
1,2,-1,-2,-2,-1,-1,0,2,-2,2,2,1,2
1,2,1,-1,1,-1,-1,1,2,-1,1,1,2,2
1,-1,1,0,-1,1,1,0,0,-1,0,0,0,-2
-1,0,-1,-2,-2,-1,-1,1,1,-2,1,1,1,2
0,-2,1,2,2,1,1,0,-1,2,-1,-1,-1,-1
1,1,-1,-1,1,0,-1,1,2,-2,0,1,1,2
-2,1,-1,-2,-2,-1,-1,1,1,-2,1,1,1,0
1,-2,2,2,1,2,2,2,-2,2,1,-1,1,-2
-2,-1,1,-1,-2,1,1,1,-2,-2,1,1,1,-2
-1,2,-1,-2,-2,-1,-1,1,1,-2,2,2,1,2
-1,-2,1,2,1,1,1,-1,-2,2,1,-2,-2,-2
2,2,-1,0,1,-2,2,-2,2,-1,2,2,2,2
1,2,-1,-1,2,-1,-1,-1,2,-1,-1,1,1,2
0,-1,1,2,1,1,2,0,-2,2,0,-1,-1,-2
1,1,1,-1,-2,-1,-1,0,2,-1,1,2,2,2
-1,2,-1,-2,-2,-1,-2,1,1,-2,1,1,1,2
-1,-1,0,0,1,0,1,-2,-2,2,-2,-2,-1,-2
1,0,-2,1,-1,-2,-1,-2,2,1,2,2,1,2